location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
ASC-1,46.379470,-62.913440,,,Visible,t,,100534, 2021-11-03 16:55:05
LXI-1,46.627900,-63.865800,,,Visible,t,,100535, 2021-11-03 16:55:06
PENP-1-1,46.492690,-63.392460,,,Visible,t,,46089, 2021-03-24 09:39:18
PENP-1-2,46.498150,-63.412320,,,Visible,t,,46091, 2021-03-24 09:39:18
PENP-1-3,46.485990,-63.378380,,,Visible,t,,46090, 2021-03-24 09:39:18
PENP-1-4,46.494835,-63.420452,,,Visible,t,,72715, 2021-03-24 09:39:18
PENP-1-5,46.480437,-63.385173,,,Visible,t,,100536, 2021-11-03 16:55:27
PENP-1-6,46.484732,-63.381201,,,Visible,t,,100537, 2021-11-03 16:55:47
PENP-2-3,46.438680,-63.249290,,,Visible,t,,57479, 2021-03-24 09:39:18
PENP-3-1,46.409640,-63.081630,,,Visible,t,,57480, 2021-03-24 09:39:18
PENP-3-2,46.413280,-63.091740,,,Visible,t,,57481, 2021-03-24 09:39:18
PENP-3-4,46.415640,-63.085710,,,Visible,t,,57482, 2021-03-24 09:39:18
PENP-3-5,46.418476,-63.089346,,,Visible,t,,72714, 2021-03-24 09:39:18
PENP-3-6,46.406918,-63.078124,,,Visible,t,,72713, 2021-03-24 09:39:18
PENP-3-7,46.417045,-63.099161,,,Visible,t,,100548, 2021-11-03 18:38:14
PENP-3-8,46.420330,-63.099885,,,Visible,t,,100541, 2021-11-03 18:36:22
PENP-4-1,46.445280,-62.706470,,,Visible,t,,57483, 2021-03-24 09:39:18
PENP-4-2,46.448440,-62.685120,,,Visible,t,,57484, 2021-03-24 09:39:18
PENP-4-3,46.451030,-62.651110,,,Visible,t,,57485, 2021-03-24 09:39:18
PENP-4-4,46.445660,-62.696560,,,Visible,t,,57486, 2021-03-24 09:39:18
PENP-4-6,46.450840,-62.671060,,,Visible,t,,100545, 2021-11-03 18:37:32
PENP-5-1,46.195650,-63.134100,,,Visible,t,,100539, 2021-11-03 18:36:12
PENP-BS-1,46.496944,-63.405215,,,Visible,t,,100540, 2021-11-03 18:36:12
PENP-BS-2,46.425060,-63.127050,,,Visible,t,,100538, 2021-11-03 18:36:12
PENP-BS-3,46.495450,-63.340260,,,Visible,t,,100546, 2021-11-03 18:37:32
PENP-BS-4,46.464874,-63.302424,,,Visible,t,,100543, 2021-11-03 18:36:51
PENP-BS-5,46.416854,-62.969802,,,Visible,t,,100544, 2021-11-03 18:37:22
